ion_formula,charge,mz,class,reagent,phase,instrument,contributor,site,setting,biome,campaign,reference,peaklist_file
C8H12NO9,-,266.05175,organic,NO3-,gas,HTOF-CIMS,Chao Yan,"Hyytiälä, Finland (SMEAR II)",atmosphere,forest,long-term,"Yan et al., 2016, ACP",peakList_Hyytiala_simplified.db
C7H10NO10,-,268.03102,organic,NO3-,gas,HTOF-CIMS,Chao Yan,"Hyytiälä, Finland (SMEAR II)",atmosphere,forest,long-term,"Yan et al., 2016, ACP",peakList_Hyytiala_simplified.db
C7H11NO10,-,269.03884,organic,NO3-,gas,HTOF-CIMS,Chao Yan,"Hyytiälä, Finland (SMEAR II)",atmosphere,forest,long-term,"Yan et al., 2016, ACP",peakList_Hyytiala_simplified.db
C7H12NO10,-,270.04667,organic,NO3-,gas,HTOF-CIMS,Chao Yan,"Hyytiälä, Finland (SMEAR II)",atmosphere,forest,long-term,"Yan et al., 2016, ACP",peakList_Hyytiala_simplified.db
C10H14NO8,-,276.07249,organic,NO3-,gas,HTOF-CIMS,Chao Yan,"Hyytiälä, Finland (SMEAR II)",atmosphere,forest,long-term,"Yan et al., 2016, ACP",peakList_Hyytiala_simplified.db
C9H13N2O8,-,277.06774,organic,NO3-,gas,HTOF-CIMS,Chao Yan,"Hyytiälä, Finland (SMEAR II)",atmosphere,forest,long-term,"Yan et al., 2016, ACP",peakList_Hyytiala_simplified.db
C10H16NO8,-,278.08814,organic,NO3-,gas,HTOF-CIMS,Chao Yan,"Hyytiälä, Finland (SMEAR II)",atmosphere,forest,long-term,"Yan et al., 2016, ACP",peakList_Hyytiala_simplified.db
C9H15N2O8,-,279.08339,organic,NO3-,gas,HTOF-CIMS,Chao Yan,"Hyytiälä, Finland (SMEAR II)",atmosphere,forest,long-term,"Yan et al., 2016, ACP",peakList_Hyytiala_simplified.db
C9H14NO9,-,280.06740,organic,NO3-,gas,HTOF-CIMS,Chao Yan,"Hyytiälä, Finland (SMEAR II)",atmosphere,forest,long-term,"Yan et al., 2016, ACP",peakList_Hyytiala_simplified.db
C9H15NO9,-,281.07523,organic,NO3-,gas,HTOF-CIMS,Chao Yan,"Hyytiälä, Finland (SMEAR II)",atmosphere,forest,long-term,"Yan et al., 2016, ACP",peakList_Hyytiala_simplified.db
C7H8NO11,-,282.01028,organic,NO3-,gas,HTOF-CIMS,Chao Yan,"Hyytiälä, Finland (SMEAR II)",atmosphere,forest,long-term,"Yan et al., 2016, ACP",peakList_Hyytiala_simplified.db
C8H12NO10,-,282.04667,organic,NO3-,gas,HTOF-CIMS,Chao Yan,"Hyytiälä, Finland (SMEAR II)",atmosphere,forest,long-term,"Yan et al., 2016, ACP",peakList_Hyytiala_simplified.db
C7H9NO11,-,283.01811,organic,NO3-,gas,HTOF-CIMS,Chao Yan,"Hyytiälä, Finland (SMEAR II)",atmosphere,forest,long-term,"Yan et al., 2016, ACP",peakList_Hyytiala_simplified.db
C7H10NO11,-,284.02593,organic,NO3-,gas,HTOF-CIMS,Chao Yan,"Hyytiälä, Finland (SMEAR II)",atmosphere,forest,long-term,"Yan et al., 2016, ACP",peakList_Hyytiala_simplified.db
C8H14NO10,-,284.06232,organic,NO3-,gas,HTOF-CIMS,Chao Yan,"Hyytiälä, Finland (SMEAR II)",atmosphere,forest,long-term,"Yan et al., 2016, ACP",peakList_Hyytiala_simplified.db
C10H14NO9,-,292.06740,organic,NO3-,gas,HTOF-CIMS,Chao Yan,"Hyytiälä, Finland (SMEAR II)",atmosphere,forest,long-term,"Yan et al., 2016, ACP",peakList_Hyytiala_simplified.db
C10H15NO9,-,293.07523,organic,NO3-,gas,HTOF-CIMS,Chao Yan,"Hyytiälä, Finland (SMEAR II)",atmosphere,forest,long-term,"Yan et al., 2016, ACP",peakList_Hyytiala_simplified.db
C10H16NO9,-,294.08305,organic,NO3-,gas,HTOF-CIMS,Chao Yan,"Hyytiälä, Finland (SMEAR II)",atmosphere,forest,long-term,"Yan et al., 2016, ACP",peakList_Hyytiala_simplified.db
C9H14NO10,-,296.06232,organic,NO3-,gas,HTOF-CIMS,Chao Yan,"Hyytiälä, Finland (SMEAR II)",atmosphere,forest,long-term,"Yan et al., 2016, ACP",peakList_Hyytiala_simplified.db
C10H18NO9,-,296.09870,organic,NO3-,gas,HTOF-CIMS,Chao Yan,"Hyytiälä, Finland (SMEAR II)",atmosphere,forest,long-term,"Yan et al., 2016, ACP",peakList_Hyytiala_simplified.db
C7H9N2O11,-,297.02118,organic,NO3-,gas,HTOF-CIMS,Chao Yan,"Hyytiälä, Finland (SMEAR II)",atmosphere,forest,long-term,"Yan et al., 2016, ACP",peakList_Hyytiala_simplified.db
C8H12NO11,-,298.04158,organic,NO3-,gas,HTOF-CIMS,Chao Yan,"Hyytiälä, Finland (SMEAR II)",atmosphere,forest,long-term,"Yan et al., 2016, ACP",peakList_Hyytiala_simplified.db
C7H11N2O11,-,299.03683,organic,NO3-,gas,HTOF-CIMS,Chao Yan,"Hyytiälä, Finland (SMEAR II)",atmosphere,forest,long-term,"Yan et al., 2016, ACP",peakList_Hyytiala_simplified.db
C8H13NO11,-,299.04941,organic,NO3-,gas,HTOF-CIMS,Chao Yan,"Hyytiälä, Finland (SMEAR II)",atmosphere,forest,long-term,"Yan et al., 2016, ACP",peakList_Hyytiala_simplified.db
C8H14NO11,-,300.05723,organic,NO3-,gas,HTOF-CIMS,Chao Yan,"Hyytiälä, Finland (SMEAR II)",atmosphere,forest,long-term,"Yan et al., 2016, ACP",peakList_Hyytiala_simplified.db
C10H14NO10,-,308.06232,organic,NO3-,gas,HTOF-CIMS,Chao Yan,"Hyytiälä, Finland (SMEAR II)",atmosphere,forest,long-term,"Yan et al., 2016, ACP",peakList_Hyytiala_simplified.db
C9H13N2O10,-,309.05757,organic,NO3-,gas,HTOF-CIMS,Chao Yan,"Hyytiälä, Finland (SMEAR II)",atmosphere,forest,long-term,"Yan et al., 2016, ACP",peakList_Hyytiala_simplified.db
C10H15NO10,-,309.07014,organic,NO3-,gas,HTOF-CIMS,Chao Yan,"Hyytiälä, Finland (SMEAR II)",atmosphere,forest,long-term,"Yan et al., 2016, ACP",peakList_Hyytiala_simplified.db
C9H12NO11,-,310.04158,organic,NO3-,gas,HTOF-CIMS,Chao Yan,"Hyytiälä, Finland (SMEAR II)",atmosphere,forest,long-term,"Yan et al., 2016, ACP",peakList_Hyytiala_simplified.db
C10H16NO10,-,310.07797,organic,NO3-,gas,HTOF-CIMS,Chao Yan,"Hyytiälä, Finland (SMEAR II)",atmosphere,forest,long-term,"Yan et al., 2016, ACP",peakList_Hyytiala_simplified.db
