ion_formula,charge,mz,class,reagent,phase,instrument,contributor,site,setting,biome,campaign,reference,peaklist_file
,,281.96630,unassigned,NO3-,gas,LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Guo et al., 2022, ACP",Beijing_Latest_peaklist_20190420.db
,,281.99100,unassigned,NO3-,gas,LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Guo et al., 2022, ACP",Beijing_Latest_peaklist_20190420.db
C6H8N3O10,-,282.02152,organic,NO3-,gas,LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Guo et al., 2022, ACP",Beijing_Latest_peaklist_20190420.db
C8H12NO10,-,282.04667,organic,NO3-,gas,LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Guo et al., 2022, ACP",Beijing_Latest_peaklist_20190420.db
C7H12N3O9,-,282.05790,organic,NO3-,gas,LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Guo et al., 2022, ACP",Beijing_Latest_peaklist_20190420.db
C13H16NO6,-,282.09831,organic,NO3-,gas,LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Guo et al., 2022, ACP",Beijing_Latest_peaklist_20190420.db
C6H2F11,-,282.99863,organic,NO3-,gas,LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Guo et al., 2022, ACP",Beijing_Latest_peaklist_20190420.db
C6H7N2O11,-,283.00553,organic,NO3-,gas,LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Guo et al., 2022, ACP",Beijing_Latest_peaklist_20190420.db
C7H11N2O10,-,283.04192,organic,NO3-,gas,LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Guo et al., 2022, ACP",Beijing_Latest_peaklist_20190420.db
C8H15N2O9,-,283.07830,organic,NO3-,gas,LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Guo et al., 2022, ACP",Beijing_Latest_peaklist_20190420.db
C9H19N2O8,-,283.11469,organic,NO3-,gas,LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Guo et al., 2022, ACP",Beijing_Latest_peaklist_20190420.db
,,283.87320,unassigned,NO3-,gas,LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Guo et al., 2022, ACP",Beijing_Latest_peaklist_20190420.db
,,283.96500,unassigned,NO3-,gas,LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Guo et al., 2022, ACP",Beijing_Latest_peaklist_20190420.db
C5H6N3O11,-,284.00078,organic,NO3-,gas,LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Guo et al., 2022, ACP",Beijing_Latest_peaklist_20190420.db
C7H10NO11,-,284.02593,organic,NO3-,gas,LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Guo et al., 2022, ACP",Beijing_Latest_peaklist_20190420.db
C6H10N3O10,-,284.03717,organic,NO3-,gas,LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Guo et al., 2022, ACP",Beijing_Latest_peaklist_20190420.db
C8H14NO10,-,284.06232,organic,NO3-,gas,LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Guo et al., 2022, ACP",Beijing_Latest_peaklist_20190420.db
C7H14N3O9,-,284.07355,organic,NO3-,gas,LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Guo et al., 2022, ACP",Beijing_Latest_peaklist_20190420.db
C13H18NO6,-,284.11396,organic,NO3-,gas,LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Guo et al., 2022, ACP",Beijing_Latest_peaklist_20190420.db
,,284.95820,unassigned,NO3-,gas,LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Guo et al., 2022, ACP",Beijing_Latest_peaklist_20190420.db
C5H5N2O12,-,284.98480,organic,NO3-,gas,LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Guo et al., 2022, ACP",Beijing_Latest_peaklist_20190420.db
C6H9N2O11,-,285.02118,organic,NO3-,gas,LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Guo et al., 2022, ACP",Beijing_Latest_peaklist_20190420.db
C10H9N2O8,-,285.03644,organic,NO3-,gas,LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Guo et al., 2022, ACP",Beijing_Latest_peaklist_20190420.db
C7H13N2O10,-,285.05757,organic,NO3-,gas,LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Guo et al., 2022, ACP",Beijing_Latest_peaklist_20190420.db
C8H17N2O9,-,285.09395,organic,NO3-,gas,LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Guo et al., 2022, ACP",Beijing_Latest_peaklist_20190420.db
C12H17N2O6,-,285.10921,organic,NO3-,gas,LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Guo et al., 2022, ACP",Beijing_Latest_peaklist_20190420.db
C5H8N3O11,-,286.01643,organic,NO3-,gas,LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Guo et al., 2022, ACP",Beijing_Latest_peaklist_20190420.db
C6H12N3O10,-,286.05282,organic,NO3-,gas,LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Guo et al., 2022, ACP",Beijing_Latest_peaklist_20190420.db
C8H16NO10,-,286.07797,organic,NO3-,gas,LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Guo et al., 2022, ACP",Beijing_Latest_peaklist_20190420.db
C5H2F11O,-,286.99355,organic,NO3-,gas,LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Guo et al., 2022, ACP",Beijing_Latest_peaklist_20190420.db
C9H7N2O9,-,287.01570,organic,NO3-,gas,LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Guo et al., 2022, ACP",Beijing_Latest_peaklist_20190420.db
C10H11N2O8,-,287.05209,organic,NO3-,gas,LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Guo et al., 2022, ACP",Beijing_Latest_peaklist_20190420.db
C11H15N2O7,-,287.08847,organic,NO3-,gas,LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Guo et al., 2022, ACP",Beijing_Latest_peaklist_20190420.db
C4H6N3O12,-,287.99570,organic,NO3-,gas,LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Guo et al., 2022, ACP",Beijing_Latest_peaklist_20190420.db
C5H10N3O11,-,288.03208,organic,NO3-,gas,LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Guo et al., 2022, ACP",Beijing_Latest_peaklist_20190420.db
C9H10N3O8,-,288.04734,organic,NO3-,gas,LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Guo et al., 2022, ACP",Beijing_Latest_peaklist_20190420.db
C12H18NO7,-,288.10888,organic,NO3-,gas,LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Guo et al., 2022, ACP",Beijing_Latest_peaklist_20190420.db
,,288.94300,unassigned,NO3-,gas,LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Guo et al., 2022, ACP",Beijing_Latest_peaklist_20190420.db
,,288.98700,unassigned,NO3-,gas,LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Guo et al., 2022, ACP",Beijing_Latest_peaklist_20190420.db
C10H9O10,-,289.02012,organic,NO3-,gas,LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Guo et al., 2022, ACP",Beijing_Latest_peaklist_20190420.db
C13H9N2O6,-,289.04661,organic,NO3-,gas,LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Guo et al., 2022, ACP",Beijing_Latest_peaklist_20190420.db
C10H13N2O8,-,289.06774,organic,NO3-,gas,LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Guo et al., 2022, ACP",Beijing_Latest_peaklist_20190420.db
C11H17N2O7,-,289.10412,organic,NO3-,gas,LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Guo et al., 2022, ACP",Beijing_Latest_peaklist_20190420.db
,,289.92000,unassigned,NO3-,gas,LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Guo et al., 2022, ACP",Beijing_Latest_peaklist_20190420.db
,,289.97200,unassigned,NO3-,gas,LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Guo et al., 2022, ACP",Beijing_Latest_peaklist_20190420.db
C4H8N3O12,-,290.01135,organic,NO3-,gas,LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Guo et al., 2022, ACP",Beijing_Latest_peaklist_20190420.db
C8H8N3O9,-,290.02660,organic,NO3-,gas,LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Guo et al., 2022, ACP",Beijing_Latest_peaklist_20190420.db
C6H12NO12,-,290.03650,organic,NO3-,gas,LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Guo et al., 2022, ACP",Beijing_Latest_peaklist_20190420.db
C9H12N3O8,-,290.06299,organic,NO3-,gas,LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Guo et al., 2022, ACP",Beijing_Latest_peaklist_20190420.db
C11H16NO8,-,290.08814,organic,NO3-,gas,LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Guo et al., 2022, ACP",Beijing_Latest_peaklist_20190420.db
C12H20NO7,-,290.12453,organic,NO3-,gas,LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Guo et al., 2022, ACP",Beijing_Latest_peaklist_20190420.db
C14H28NO5,-,290.19730,organic,NO3-,gas,LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Guo et al., 2022, ACP",Beijing_Latest_peaklist_20190420.db
,,290.93900,unassigned,NO3-,gas,LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Guo et al., 2022, ACP",Beijing_Latest_peaklist_20190420.db
,,290.98100,unassigned,NO3-,gas,LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Guo et al., 2022, ACP",Beijing_Latest_peaklist_20190420.db
C8H7N2O10,-,291.01062,organic,NO3-,gas,LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Guo et al., 2022, ACP",Beijing_Latest_peaklist_20190420.db
C9H11N2O9,-,291.04700,organic,NO3-,gas,LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Guo et al., 2022, ACP",Beijing_Latest_peaklist_20190420.db
C10H15N2O8,-,291.08339,organic,NO3-,gas,LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Guo et al., 2022, ACP",Beijing_Latest_peaklist_20190420.db
,,291.97000,unassigned,NO3-,gas,LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Guo et al., 2022, ACP",Beijing_Latest_peaklist_20190420.db
,,291.98600,unassigned,NO3-,gas,LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Guo et al., 2022, ACP",Beijing_Latest_peaklist_20190420.db
C4H10N3O12,-,292.02700,organic,NO3-,gas,LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Guo et al., 2022, ACP",Beijing_Latest_peaklist_20190420.db
C8H10N3O9,-,292.04225,organic,NO3-,gas,LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Guo et al., 2022, ACP",Beijing_Latest_peaklist_20190420.db
C10H14NO9,-,292.06740,organic,NO3-,gas,LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Guo et al., 2022, ACP",Beijing_Latest_peaklist_20190420.db
C11H18NO8,-,292.10379,organic,NO3-,gas,LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Guo et al., 2022, ACP",Beijing_Latest_peaklist_20190420.db
C12H22NO7,-,292.14018,organic,NO3-,gas,LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Guo et al., 2022, ACP",Beijing_Latest_peaklist_20190420.db
H5O12S3,-,292.89486,inorganic,NO3-,gas,LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Guo et al., 2022, ACP",Beijing_Latest_peaklist_20190420.db
,,292.97600,unassigned,NO3-,gas,LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Guo et al., 2022, ACP",Beijing_Latest_peaklist_20190420.db
C8H9N2O10,-,293.02627,organic,NO3-,gas,LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Guo et al., 2022, ACP",Beijing_Latest_peaklist_20190420.db
C9H13N2O9,-,293.06265,organic,NO3-,gas,LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Guo et al., 2022, ACP",Beijing_Latest_peaklist_20190420.db
C10H17N2O8,-,293.09904,organic,NO3-,gas,LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Guo et al., 2022, ACP",Beijing_Latest_peaklist_20190420.db
,,293.97690,unassigned,NO3-,gas,LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Guo et al., 2022, ACP",Beijing_Latest_peaklist_20190420.db
C8H8NO11,-,294.01028,organic,NO3-,gas,LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Guo et al., 2022, ACP",Beijing_Latest_peaklist_20190420.db
C7H8N3O10,-,294.02152,organic,NO3-,gas,LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Guo et al., 2022, ACP",Beijing_Latest_peaklist_20190420.db
C9H12NO10,-,294.04667,organic,NO3-,gas,LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Guo et al., 2022, ACP",Beijing_Latest_peaklist_20190420.db
C13H12NO7,-,294.06193,organic,NO3-,gas,LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Guo et al., 2022, ACP",Beijing_Latest_peaklist_20190420.db
C10H16NO9,-,294.08305,organic,NO3-,gas,LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Guo et al., 2022, ACP",Beijing_Latest_peaklist_20190420.db
,,294.10640,unassigned,NO3-,gas,LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Guo et al., 2022, ACP",Beijing_Latest_peaklist_20190420.db
C6HF10O2,-,294.98224,organic,NO3-,gas,LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Guo et al., 2022, ACP",Beijing_Latest_peaklist_20190420.db
C7H7N2O11,-,295.00553,organic,NO3-,gas,LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Guo et al., 2022, ACP",Beijing_Latest_peaklist_20190420.db
C8H11N2O10,-,295.04192,organic,NO3-,gas,LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Guo et al., 2022, ACP",Beijing_Latest_peaklist_20190420.db
C9H15N2O9,-,295.07830,organic,NO3-,gas,LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Guo et al., 2022, ACP",Beijing_Latest_peaklist_20190420.db
C10H19N2O8,-,295.11469,organic,NO3-,gas,LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Guo et al., 2022, ACP",Beijing_Latest_peaklist_20190420.db
,,295.95800,unassigned,NO3-,gas,LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Guo et al., 2022, ACP",Beijing_Latest_peaklist_20190420.db
C6H6N3O9S,-,295.98302,organic,NO3-,gas,LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Guo et al., 2022, ACP",Beijing_Latest_peaklist_20190420.db
C8H10NO11,-,296.02593,organic,NO3-,gas,LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Guo et al., 2022, ACP",Beijing_Latest_peaklist_20190420.db
C7H10N3O10,-,296.03717,organic,NO3-,gas,LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Guo et al., 2022, ACP",Beijing_Latest_peaklist_20190420.db
C11H10N3O7,-,296.05242,organic,NO3-,gas,LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Guo et al., 2022, ACP",Beijing_Latest_peaklist_20190420.db
C13H14NO7,-,296.07758,organic,NO3-,gas,LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Guo et al., 2022, ACP",Beijing_Latest_peaklist_20190420.db
C18H18NO3,-,296.12922,organic,NO3-,gas,LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Guo et al., 2022, ACP",Beijing_Latest_peaklist_20190420.db
C6H5N2O12,-,296.98480,organic,NO3-,gas,LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Guo et al., 2022, ACP",Beijing_Latest_peaklist_20190420.db
C10H5N2O9,-,297.00005,organic,NO3-,gas,LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Guo et al., 2022, ACP",Beijing_Latest_peaklist_20190420.db
C7H9N2O11,-,297.02118,organic,NO3-,gas,LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Guo et al., 2022, ACP",Beijing_Latest_peaklist_20190420.db
C8H13N2O10,-,297.05757,organic,NO3-,gas,LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Guo et al., 2022, ACP",Beijing_Latest_peaklist_20190420.db
C9H17N2O9,-,297.09395,organic,NO3-,gas,LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Guo et al., 2022, ACP",Beijing_Latest_peaklist_20190420.db
C10H21N2O8,-,297.13034,organic,NO3-,gas,LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Guo et al., 2022, ACP",Beijing_Latest_peaklist_20190420.db
,,297.97560,unassigned,NO3-,gas,LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Guo et al., 2022, ACP",Beijing_Latest_peaklist_20190420.db
C11H8NO9,-,298.02045,organic,NO3-,gas,LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Guo et al., 2022, ACP",Beijing_Latest_peaklist_20190420.db
C10H8N3O8,-,298.03169,organic,NO3-,gas,LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Guo et al., 2022, ACP",Beijing_Latest_peaklist_20190420.db
C7H12N3O10,-,298.05282,organic,NO3-,gas,LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Guo et al., 2022, ACP",Beijing_Latest_peaklist_20190420.db
C13H16NO7,-,298.09323,organic,NO3-,gas,LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Guo et al., 2022, ACP",Beijing_Latest_peaklist_20190420.db
,,298.93000,unassigned,NO3-,gas,LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Guo et al., 2022, ACP",Beijing_Latest_peaklist_20190420.db
,,298.99400,unassigned,NO3-,gas,LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Guo et al., 2022, ACP",Beijing_Latest_peaklist_20190420.db
C6H7N2O12,-,299.00045,organic,NO3-,gas,LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Guo et al., 2022, ACP",Beijing_Latest_peaklist_20190420.db
C7H11N2O11,-,299.03683,organic,NO3-,gas,LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Guo et al., 2022, ACP",Beijing_Latest_peaklist_20190420.db
C11H11N2O8,-,299.05209,organic,NO3-,gas,LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Guo et al., 2022, ACP",Beijing_Latest_peaklist_20190420.db
C8H15N2O10,-,299.07322,organic,NO3-,gas,LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Guo et al., 2022, ACP",Beijing_Latest_peaklist_20190420.db
C12H15N2O7,-,299.08847,organic,NO3-,gas,LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Guo et al., 2022, ACP",Beijing_Latest_peaklist_20190420.db
C14H19O7,-,299.11363,organic,NO3-,gas,LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Guo et al., 2022, ACP",Beijing_Latest_peaklist_20190420.db
C5H6N3O12,-,299.99570,organic,NO3-,gas,LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Guo et al., 2022, ACP",Beijing_Latest_peaklist_20190420.db
C6H10N3O11,-,300.03208,organic,NO3-,gas,LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Guo et al., 2022, ACP",Beijing_Latest_peaklist_20190420.db
C7H14N3O10,-,300.06847,organic,NO3-,gas,LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Guo et al., 2022, ACP",Beijing_Latest_peaklist_20190420.db
H2IN2O9,-,300.88105,inorganic,NO3-,gas,LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Guo et al., 2022, ACP",Beijing_Latest_peaklist_20190420.db
C6HF12,-,300.98921,organic,NO3-,gas,LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Guo et al., 2022, ACP",Beijing_Latest_peaklist_20190420.db
C6H4F11O,-,301.00920,organic,NO3-,gas,LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Guo et al., 2022, ACP",Beijing_Latest_peaklist_20190420.db
C10H9N2O9,-,301.03135,organic,NO3-,gas,LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Guo et al., 2022, ACP",Beijing_Latest_peaklist_20190420.db
C12H13O9,-,301.05651,organic,NO3-,gas,LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Guo et al., 2022, ACP",Beijing_Latest_peaklist_20190420.db
C11H13N2O8,-,301.06774,organic,NO3-,gas,LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Guo et al., 2022, ACP",Beijing_Latest_peaklist_20190420.db
C12H17N2O7,-,301.10412,organic,NO3-,gas,LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Guo et al., 2022, ACP",Beijing_Latest_peaklist_20190420.db
,,301.92800,unassigned,NO3-,gas,LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Guo et al., 2022, ACP",Beijing_Latest_peaklist_20190420.db
C5H8N3O12,-,302.01135,organic,NO3-,gas,LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Guo et al., 2022, ACP",Beijing_Latest_peaklist_20190420.db
C6H12N3O11,-,302.04773,organic,NO3-,gas,LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Guo et al., 2022, ACP",Beijing_Latest_peaklist_20190420.db
C10H12N3O8,-,302.06299,organic,NO3-,gas,LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Guo et al., 2022, ACP",Beijing_Latest_peaklist_20190420.db
C12H16NO8,-,302.08814,organic,NO3-,gas,LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Guo et al., 2022, ACP",Beijing_Latest_peaklist_20190420.db
C17H20NO4,-,302.13978,organic,NO3-,gas,LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Guo et al., 2022, ACP",Beijing_Latest_peaklist_20190420.db
,,302.93860,unassigned,NO3-,gas,LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Guo et al., 2022, ACP",Beijing_Latest_peaklist_20190420.db
,,302.98210,unassigned,NO3-,gas,LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Guo et al., 2022, ACP",Beijing_Latest_peaklist_20190420.db
C9H7N2O10,-,303.01062,organic,NO3-,gas,LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Guo et al., 2022, ACP",Beijing_Latest_peaklist_20190420.db
C10H11N2O9,-,303.04700,organic,NO3-,gas,LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Guo et al., 2022, ACP",Beijing_Latest_peaklist_20190420.db
C11H15N2O8,-,303.08339,organic,NO3-,gas,LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Guo et al., 2022, ACP",Beijing_Latest_peaklist_20190420.db
C12H19N2O7,-,303.11977,organic,NO3-,gas,LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Guo et al., 2022, ACP",Beijing_Latest_peaklist_20190420.db
,,303.89100,unassigned,NO3-,gas,LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Guo et al., 2022, ACP",Beijing_Latest_peaklist_20190420.db
,,303.95100,unassigned,NO3-,gas,LTOF-CIMS,Chao Yan,Beijing urban (BUCT),atmosphere,urban,BUCT long-term,"Guo et al., 2022, ACP",Beijing_Latest_peaklist_20190420.db
